date,name,qty,unit_price_gross,vat_rate,unit_cost,unit_vat,unit_price_net,unit_profit_est,margin_rate,food_cost_rate,total_sales_net,total_sales_gross,total_cost_est,total_profit_est
2026-06-01,Philadelphia tuńczyk | 8 szt,1,82.0,8.0,15.3,6.074074074074074,75.92592592592592,60.62592592592593,0.7984878048780488,0.20151219512195123,75.92592592592592,82.0,15.3,60.62592592592593
2026-06-02,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,10,38.0,8.0,7.51,2.814814814814815,35.18518518518518,27.675185185185185,0.7865578947368421,0.2134421052631579,351.85185185185185,380.0,75.1,276.7518518518518
2026-06-02,Futomaki FRESH ROLL | 6 szt,4,35.0,8.0,6.39,2.5925925925925926,32.407407407407405,26.017407407407404,0.8028228571428571,0.19717714285714286,129.62962962962962,140.0,25.56,104.06962962962962
2026-06-02,Sushi burger ŁOSOŚ SUROWY,2,60.0,8.0,11.91,4.444444444444445,55.55555555555556,43.64555555555556,0.7856200000000001,0.21438,111.11111111111111,120.0,23.82,87.29111111111112
2026-06-02,PROMO 1+1=3 Sushi burgery,2,120.0,8.0,35.36,8.88888888888889,111.11111111111111,75.75111111111111,0.68176,0.31823999999999997,222.22222222222223,240.0,70.72,151.50222222222223
2026-06-02,California TUŃCZYK SUROWY | 8 szt,1,68.0,8.0,13.22,5.037037037037037,62.96296296296296,49.74296296296296,0.7900352941176471,0.20996470588235294,62.96296296296296,68.0,13.22,49.74296296296296
2026-06-02,Yakuza roll | 8 szt,1,81.0,23.0,17.24,15.146341463414634,65.85365853658537,48.613658536585376,0.7382074074074075,0.2617925925925925,65.85365853658537,81.0,17.24,48.613658536585376
2026-06-02,Futomaki WARZYWA W TEMPURZE | 6 szt,1,22.0,8.0,4.56,1.6296296296296295,20.37037037037037,15.810370370370372,0.7761454545454546,0.22385454545454544,20.37037037037037,22.0,4.56,15.810370370370372
2026-06-02,Hosomaki ŁOSOŚ GRILLOWANY | 8 szt,1,25.0,8.0,6.12,1.8518518518518519,23.14814814814815,17.028148148148148,0.7356159999999999,0.264384,23.14814814814815,25.0,6.12,17.028148148148148
2026-06-02,Philadelphia tuńczyk | 8 szt,1,82.0,8.0,15.3,6.074074074074074,75.92592592592592,60.62592592592593,0.7984878048780488,0.20151219512195123,75.92592592592592,82.0,15.3,60.62592592592593
2026-06-02,Krewetki w tempurze | 6 szt,1,40.0,23.0,11.29,7.479674796747967,32.520325203252035,21.230325203252036,0.6528325,0.34716749999999996,32.520325203252035,40.0,11.29,21.230325203252036
2026-06-02,Futomaki KRAB W TEMPURZE | 6 szt,1,54.0,23.0,13.88,10.097560975609756,43.90243902439025,30.022439024390245,0.6838444444444444,0.3161555555555555,43.90243902439025,54.0,13.88,30.022439024390245
2026-06-02,Nigiri łosoś | 2 szt,1,25.0,8.0,5.65,1.8518518518518519,23.14814814814815,17.498148148148147,0.7559199999999999,0.24408000000000002,23.14814814814815,25.0,5.65,17.498148148148147
2026-06-02,Hosomaki AWOKADO | 8 szt,1,21.0,8.0,4.73,1.5555555555555556,19.444444444444443,14.714444444444442,0.756742857142857,0.2432571428571429,19.444444444444443,21.0,4.73,14.714444444444442
2026-06-02,Hosomaki OGÓREK | 8 szt,1,18.0,8.0,3.93,1.3333333333333333,16.666666666666668,12.736666666666668,0.7642,0.23579999999999998,16.666666666666668,18.0,3.93,12.736666666666668
2026-06-03,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,8,38.0,8.0,7.51,2.814814814814815,35.18518518518518,27.675185185185185,0.7865578947368421,0.2134421052631579,281.48148148148147,304.0,60.08,221.40148148148148
2026-06-03,PROMO 1+1=3 Sushi burgery,3,120.0,8.0,35.36,8.88888888888889,111.11111111111111,75.75111111111111,0.68176,0.31823999999999997,333.33333333333337,360.0,106.08,227.2533333333334
2026-06-03,Zestaw Startowy | 16 szt,3,81.89999999999999,8.0,20.13,6.066666666666666,75.83333333333333,55.70333333333333,0.7345494505494506,0.26545054945054947,227.5,245.7,60.39,167.11
2026-06-03,Sushi burger ŁOSOŚ GRILLOWANY,2,65.0,8.0,11.18,4.814814814814815,60.18518518518518,49.005185185185184,0.81424,0.18576,120.37037037037037,130.0,22.36,98.01037037037037
2026-06-03,Miso z łososiem | 350 ml,2,35.0,8.0,3.59,2.5925925925925926,32.407407407407405,28.817407407407405,0.8892228571428571,0.11077714285714287,64.81481481481481,70.0,7.18,57.63481481481481
2026-06-03,Futomaki FRESH ROLL | 6 szt,2,35.0,8.0,6.39,2.5925925925925926,32.407407407407405,26.017407407407404,0.8028228571428571,0.19717714285714286,64.81481481481481,70.0,12.78,52.03481481481481
2026-06-03,Futomaki KREWETKA PANKO | 6 szt / 12 szt,2,37.0,23.0,8.72,6.91869918699187,30.08130081300813,21.36130081300813,0.7101189189189189,0.28988108108108107,60.16260162601626,74.0,17.44,42.72260162601626
2026-06-03,Sushi burger KREWETKA GOTOWANA,1,60.0,23.0,12.37,11.21951219512195,48.78048780487805,36.41048780487805,0.746415,0.253585,48.78048780487805,60.0,12.37,36.41048780487805
2026-06-03,Zestaw Grill | 30 szt,1,135.0,8.0,30.29,10.0,125.0,94.71000000000001,0.75768,0.24231999999999998,125.0,135.0,30.29,94.71000000000001
2026-06-03,Hosomaki ŁOSOŚ SUROWY | 8 szt,1,26.0,8.0,6.01,1.9259259259259258,24.074074074074073,18.06407407407407,0.750353846153846,0.24964615384615385,24.074074074074073,26.0,6.01,18.06407407407407
2026-06-03,Hosomaki KREWETKA EBI | 8 szt,1,27.0,23.0,6.58,5.048780487804878,21.951219512195124,15.371219512195124,0.7002444444444444,0.29975555555555555,21.951219512195124,27.0,6.58,15.371219512195124
2026-06-03,Zestaw Vibe | 32 szt,1,200.0,8.0,50.77,14.814814814814815,185.1851851851852,134.41518518518518,0.725842,0.274158,185.1851851851852,200.0,50.77,134.41518518518518
2026-06-03,Hosomaki OGÓREK | 8 szt,1,18.0,8.0,3.93,1.3333333333333333,16.666666666666668,12.736666666666668,0.7642,0.23579999999999998,16.666666666666668,18.0,3.93,12.736666666666668
2026-06-03,California KREWETKA GOTOWANA | 8 szt,1,55.0,23.0,15.05,10.284552845528456,44.71544715447155,29.665447154471547,0.6634272727272728,0.33657272727272725,44.71544715447155,55.0,15.05,29.665447154471547
2026-06-03,Grill set | 30 szt,1,170.0,8.0,30.29,12.592592592592593,157.40740740740742,127.11740740740743,0.807569411764706,0.1924305882352941,157.40740740740742,170.0,30.29,127.11740740740743
2026-06-03,Zestaw Philadelphia | 24 szt,1,170.0,8.0,38.04,12.592592592592593,157.40740740740742,119.36740740740743,0.7583341176470589,0.24166588235294115,157.40740740740742,170.0,38.04,119.36740740740743
2026-06-03,Sushi burger WEGE,1,50.0,8.0,8.54,3.7037037037037037,46.2962962962963,37.7562962962963,0.815536,0.184464,46.2962962962963,50.0,8.54,37.7562962962963
2026-06-03,Futomaki ŁOSOŚ GRILLOWANY | 6 szt / 12 szt,1,35.0,8.0,7.51,2.5925925925925926,32.407407407407405,24.897407407407407,0.7682628571428571,0.23173714285714286,32.407407407407405,35.0,7.51,24.897407407407407
2026-06-03,Gunkan Ebi | 2 szt,1,30.0,23.0,6.4,5.609756097560975,24.390243902439025,17.990243902439026,0.7376,0.2624,24.390243902439025,30.0,6.4,17.990243902439026
2026-06-03,Hosomaki MANGO | 8 szt,1,18.0,8.0,4.13,1.3333333333333333,16.666666666666668,12.536666666666669,0.7522000000000001,0.24779999999999996,16.666666666666668,18.0,4.13,12.536666666666669
2026-06-03,Futomaki KREWETKA EBI | 6 szt / 12 szt,1,35.0,23.0,8.33,6.544715447154472,28.455284552845526,20.125284552845528,0.70726,0.29274,28.455284552845526,35.0,8.33,20.125284552845528
2026-06-04,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,4,38.0,8.0,7.51,2.814814814814815,35.18518518518518,27.675185185185185,0.7865578947368421,0.2134421052631579,140.74074074074073,152.0,30.04,110.70074074074074
2026-06-04,PROMO 1+1=3 Sushi burgery,3,120.0,8.0,35.36,8.88888888888889,111.11111111111111,75.75111111111111,0.68176,0.31823999999999997,333.33333333333337,360.0,106.08,227.2533333333334
2026-06-04,California z czarnym ryżem ŁOSOŚ SUROWY | 8 szt,2,60.0,8.0,12.98,4.444444444444445,55.55555555555556,42.57555555555555,0.7663599999999999,0.23364000000000001,111.11111111111111,120.0,25.96,85.1511111111111
2026-06-04,California KRAB-MIX | 8 szt,2,45.0,8.0,7.71,3.3333333333333335,41.666666666666664,33.95666666666666,0.81496,0.18504,83.33333333333333,90.0,15.42,67.91333333333333
2026-06-04,Red alert roll | 8 szt,1,67.0,23.0,15.51,12.528455284552846,54.47154471544715,38.961544715447154,0.7152641791044776,0.2847358208955224,54.47154471544715,67.0,15.51,38.961544715447154
2026-06-04,Fuji roll | 8 szt,1,65.0,8.0,14.86,4.814814814814815,60.18518518518518,45.325185185185184,0.7530953846153846,0.2469046153846154,60.18518518518518,65.0,14.86,45.325185185185184
2026-06-04,California RAINBOW | 8 szt,1,65.0,8.0,15.34,4.814814814814815,60.18518518518518,44.84518518518519,0.74512,0.25488,60.18518518518518,65.0,15.34,44.84518518518519
2026-06-04,Zestaw Miyagi | 30 szt,1,130.0,8.0,27.61,9.62962962962963,120.37037037037037,92.76037037037037,0.7706246153846154,0.22937538461538462,120.37037037037037,130.0,27.61,92.76037037037037
2026-06-04,Green dragon roll | 8 szt,1,62.0,8.0,15.28,4.592592592592593,57.407407407407405,42.127407407407404,0.7338322580645161,0.26616774193548387,57.407407407407405,62.0,15.28,42.127407407407404
2026-06-04,Zestaw Grill | 30 szt,1,135.0,8.0,30.29,10.0,125.0,94.71000000000001,0.75768,0.24231999999999998,125.0,135.0,30.29,94.71000000000001
2026-06-04,Tiger roll | 8 szt,1,58.0,23.0,15.02,10.845528455284553,47.15447154471545,32.13447154471545,0.6814724137931035,0.31852758620689653,47.15447154471545,58.0,15.02,32.13447154471545
2026-06-04,Futomaki WARZYWA W TEMPURZE | 6 szt,1,22.0,8.0,4.56,1.6296296296296295,20.37037037037037,15.810370370370372,0.7761454545454546,0.22385454545454544,20.37037037037037,22.0,4.56,15.810370370370372
2026-06-04,Futomaki AWOKADO | 6 szt,1,30.0,8.0,5.93,2.2222222222222223,27.77777777777778,21.84777777777778,0.78652,0.21347999999999998,27.77777777777778,30.0,5.93,21.84777777777778
2026-06-04,Atlantic Wave roll | 8 szt,1,60.0,23.0,13.87,11.21951219512195,48.78048780487805,34.91048780487805,0.7156650000000001,0.284335,48.78048780487805,60.0,13.87,34.91048780487805
2026-06-04,Zestaw Hosomaki | 56 szt,1,100.0,8.0,23.48,7.407407407407407,92.5925925925926,69.11259259259259,0.746416,0.253584,92.5925925925926,100.0,23.48,69.11259259259259
2026-06-04,Yakuza roll | 8 szt,1,65.0,23.0,17.24,12.154471544715447,52.84552845528455,35.605528455284556,0.6737661538461539,0.32623384615384615,52.84552845528455,65.0,17.24,35.605528455284556
2026-06-04,Black dragon roll | 8 szt,1,70.0,8.0,18.29,5.185185185185185,64.81481481481481,46.52481481481481,0.7178114285714285,0.28218857142857146,64.81481481481481,70.0,18.29,46.52481481481481
2026-06-04,Futomaki KREWETKA EBI | 6 szt / 12 szt,1,35.0,23.0,8.33,6.544715447154472,28.455284552845526,20.125284552845528,0.70726,0.29274,28.455284552845526,35.0,8.33,20.125284552845528
2026-06-04,Zestaw Startowy | 16 szt,1,81.9,8.0,20.13,6.066666666666667,75.83333333333334,55.70333333333335,0.7345494505494506,0.2654505494505494,75.83333333333334,81.9,20.13,55.70333333333335
2026-06-04,Yakuza roll | 8 szt,1,81.0,23.0,17.24,15.146341463414634,65.85365853658537,48.613658536585376,0.7382074074074075,0.2617925925925925,65.85365853658537,81.0,17.24,48.613658536585376
2026-06-04,Hosomaki ŁOSOŚ GRILLOWANY | 8 szt,1,25.0,8.0,6.12,1.8518518518518519,23.14814814814815,17.028148148148148,0.7356159999999999,0.264384,23.14814814814815,25.0,6.12,17.028148148148148
2026-06-04,Krabs - Burger,1,55.0,8.0,12.27,4.074074074074074,50.925925925925924,38.65592592592593,0.7590618181818183,0.24093818181818183,50.925925925925924,55.0,12.27,38.65592592592593
2026-06-04,Philadelphia mix | 8 szt,1,55.0,8.0,14.28,4.074074074074074,50.925925925925924,36.64592592592592,0.7195927272727273,0.2804072727272727,50.925925925925924,55.0,14.28,36.64592592592592
2026-06-05,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,12,38.0,8.0,7.51,2.814814814814815,35.18518518518518,27.675185185185185,0.7865578947368421,0.2134421052631579,422.2222222222222,456.0,90.12,332.10222222222217
2026-06-05,Futomaki FRESH ROLL | 6 szt,8,35.0,8.0,6.39,2.5925925925925926,32.407407407407405,26.017407407407404,0.8028228571428571,0.19717714285714286,259.25925925925924,280.0,51.12,208.13925925925923
2026-06-05,Futomaki KALMAR PANKO | 6 szt,6,32.0,23.0,5.7,5.983739837398374,26.016260162601625,20.316260162601626,0.78090625,0.21909375,156.09756097560975,192.0,34.2,121.89756097560975
2026-06-05,PROMO 1+1=3 Sushi burgery,5,120.0,8.0,35.36,8.88888888888889,111.11111111111111,75.75111111111111,0.68176,0.31823999999999997,555.5555555555555,600.0,176.8,378.75555555555553
2026-06-05,Hosomaki OGÓREK | 8 szt,2,18.0,8.0,3.93,1.3333333333333333,16.666666666666668,12.736666666666668,0.7642,0.23579999999999998,33.333333333333336,36.0,7.86,25.473333333333336
2026-06-05,Sałatka wakame,2,15.0,8.0,1.96,1.1111111111111112,13.88888888888889,11.928888888888888,0.85888,0.14112,27.77777777777778,30.0,3.92,23.857777777777777
2026-06-05,Miso z krewetkami | 350 ml,2,35.0,23.0,5.45,6.544715447154472,28.455284552845526,23.005284552845527,0.8084714285714286,0.19152857142857144,56.91056910569105,70.0,10.9,46.010569105691054
2026-06-05,Rolka w tempurze KREWETKA EBI | 8 szt,1,60.0,23.0,13.79,11.21951219512195,48.78048780487805,34.99048780487805,0.717305,0.282695,48.78048780487805,60.0,13.79,34.99048780487805
2026-06-05,Nigiri awokado | 2 szt,1,20.0,8.0,4.34,1.4814814814814814,18.51851851851852,14.17851851851852,0.76564,0.23435999999999998,18.51851851851852,20.0,4.34,14.17851851851852
2026-06-05,Futomaki ŁOSOŚ GRILLOWANY | 6 szt / 12 szt,1,35.0,8.0,7.51,2.5925925925925926,32.407407407407405,24.897407407407407,0.7682628571428571,0.23173714285714286,32.407407407407405,35.0,7.51,24.897407407407407
2026-06-05,Futomaki KREWETKA PANKO | 6 szt / 12 szt,1,37.0,23.0,8.72,6.91869918699187,30.08130081300813,21.36130081300813,0.7101189189189189,0.28988108108108107,30.08130081300813,37.0,8.72,21.36130081300813
2026-06-05,California z czarnym ryżem ŁOSOŚ SUROWY | 8 szt,1,60.0,8.0,12.98,4.444444444444445,55.55555555555556,42.57555555555555,0.7663599999999999,0.23364000000000001,55.55555555555556,60.0,12.98,42.57555555555555
2026-06-05,Yakuza roll | 8 szt,1,65.0,23.0,17.24,12.154471544715447,52.84552845528455,35.605528455284556,0.6737661538461539,0.32623384615384615,52.84552845528455,65.0,17.24,35.605528455284556
2026-06-05,Miyagi set | 30 szt,1,140.0,8.0,27.61,10.37037037037037,129.62962962962962,102.01962962962962,0.7870085714285714,0.21299142857142858,129.62962962962962,140.0,27.61,102.01962962962962
2026-06-05,Futomaki ŁOSOŚ SUROWY | 6 szt / 12 szt,1,36.0,8.0,7.81,2.6666666666666665,33.333333333333336,25.523333333333337,0.7657,0.23429999999999998,33.333333333333336,36.0,7.81,25.523333333333337
2026-06-05,Philadelphia grill | 8 szt,1,65.0,8.0,15.33,4.814814814814815,60.18518518518518,44.855185185185185,0.7452861538461538,0.2547138461538462,60.18518518518518,65.0,15.33,44.855185185185185
2026-06-05,Zestaw Amour | 36 szt,1,195.0,8.0,42.75,14.444444444444445,180.55555555555554,137.80555555555554,0.7632307692307693,0.2367692307692308,180.55555555555554,195.0,42.75,137.80555555555554
2026-06-05,Sushi burger ŁOSOŚ SUROWY,1,65.0,8.0,11.91,4.814814814814815,60.18518518518518,48.27518518518518,0.8021107692307692,0.1978892307692308,60.18518518518518,65.0,11.91,48.27518518518518
2026-06-05,Tokyo roll | 8 szt,1,57.0,23.0,14.03,10.658536585365853,46.34146341463415,32.31146341463415,0.6972473684210526,0.30275263157894733,46.34146341463415,57.0,14.03,32.31146341463415
2026-06-05,Philadelphia łosoś | 8 szt,1,55.0,8.0,14.42,4.074074074074074,50.925925925925924,36.50592592592592,0.7168436363636363,0.28315636363636365,50.925925925925924,55.0,14.42,36.50592592592592
2026-06-05,Tiger roll | 8 szt,1,58.0,23.0,15.02,10.845528455284553,47.15447154471545,32.13447154471545,0.6814724137931035,0.31852758620689653,47.15447154471545,58.0,15.02,32.13447154471545
2026-06-05,Feliks roll | 8 szt,1,45.0,8.0,9.74,3.3333333333333335,41.666666666666664,31.926666666666662,0.7662399999999999,0.23376000000000002,41.666666666666664,45.0,9.74,31.926666666666662
2026-06-05,Philadelphia mix | 8 szt,1,55.0,8.0,14.28,4.074074074074074,50.925925925925924,36.64592592592592,0.7195927272727273,0.2804072727272727,50.925925925925924,55.0,14.28,36.64592592592592
2026-06-05,Cheese philadelphia | 8 szt,1,55.0,8.0,12.18,4.074074074074074,50.925925925925924,38.745925925925924,0.7608290909090909,0.2391709090909091,50.925925925925924,55.0,12.18,38.745925925925924
2026-06-05,Rolka w tempurze ŁOSOŚ GRILLOWANY | 8 szt,1,60.0,8.0,12.31,4.444444444444445,55.55555555555556,43.245555555555555,0.77842,0.22158,55.55555555555556,60.0,12.31,43.245555555555555
2026-06-05,Sushi burger ŁOSOŚ GRILLOWANY,1,60.0,8.0,11.18,4.444444444444445,55.55555555555556,44.37555555555556,0.79876,0.20124,55.55555555555556,60.0,11.18,44.37555555555556
2026-06-05,Philadelphia tuńczyk | 8 szt,1,62.0,8.0,15.3,4.592592592592593,57.407407407407405,42.10740740740741,0.7334838709677419,0.2665161290322581,57.407407407407405,62.0,15.3,42.10740740740741
2026-06-05,California KREWETKA GOTOWANA | 8 szt,1,55.0,23.0,15.05,10.284552845528456,44.71544715447155,29.665447154471547,0.6634272727272728,0.33657272727272725,44.71544715447155,55.0,15.05,29.665447154471547
2026-06-06,PROMO 1+1=3 Sushi burgery,6,120.0,8.0,35.36,8.88888888888889,111.11111111111111,75.75111111111111,0.68176,0.31823999999999997,666.6666666666667,720.0,212.16,454.5066666666668
2026-06-06,Nigiri łosoś grillowany | 2 szt,2,26.0,8.0,5.65,1.9259259259259258,24.074074074074073,18.42407407407407,0.7653076923076922,0.23469230769230773,48.148148148148145,52.0,11.3,36.84814814814814
2026-06-06,Sushi burger KREWETKA PANKO,1,60.0,23.0,13.4,11.21951219512195,48.78048780487805,35.38048780487805,0.7253000000000001,0.2747,48.78048780487805,60.0,13.4,35.38048780487805
2026-06-06,Zestaw Startowy | 16 szt,1,81.9,8.0,20.13,6.066666666666667,75.83333333333334,55.70333333333335,0.7345494505494506,0.2654505494505494,75.83333333333334,81.9,20.13,55.70333333333335
2026-06-06,"Zestaw ""Premium sake"" | 38 szt",1,260.0,8.0,49.59,19.25925925925926,240.74074074074073,191.15074074074073,0.7940107692307692,0.20598923076923079,240.74074074074073,260.0,49.59,191.15074074074073
2026-06-06,California TUŃCZYK SUROWY | 8 szt,1,68.0,8.0,13.22,5.037037037037037,62.96296296296296,49.74296296296296,0.7900352941176471,0.20996470588235294,62.96296296296296,68.0,13.22,49.74296296296296
2026-06-06,Zestaw Miyagi | 30 szt,1,130.0,8.0,27.61,9.62962962962963,120.37037037037037,92.76037037037037,0.7706246153846154,0.22937538461538462,120.37037037037037,130.0,27.61,92.76037037037037
2026-06-06,Hosomaki KREWETKA PANKO | 8 szt,1,30.0,23.0,7.4,5.609756097560975,24.390243902439025,16.990243902439026,0.6966000000000001,0.3034,24.390243902439025,30.0,7.4,16.990243902439026
2026-06-06,Sushi burger ŁOSOŚ SUROWY,1,60.0,8.0,11.91,4.444444444444445,55.55555555555556,43.64555555555556,0.7856200000000001,0.21438,55.55555555555556,60.0,11.91,43.64555555555556
2026-06-06,Futomaki ŁOSOŚ SUROWY | 6 szt / 12 szt,1,36.0,8.0,7.81,2.6666666666666665,33.333333333333336,25.523333333333337,0.7657,0.23429999999999998,33.333333333333336,36.0,7.81,25.523333333333337
2026-06-06,Amour Set | 36 szt,1,250.0,8.0,42.75,18.51851851851852,231.48148148148147,188.73148148148147,0.8153199999999999,0.18468,231.48148148148147,250.0,42.75,188.73148148148147
2026-06-06,California RAINBOW | 8 szt,1,65.0,8.0,15.34,4.814814814814815,60.18518518518518,44.84518518518519,0.74512,0.25488,60.18518518518518,65.0,15.34,44.84518518518519
2026-06-06,Hosomaki ŁOSOŚ GRILLOWANY | 8 szt,1,25.0,8.0,6.12,1.8518518518518519,23.14814814814815,17.028148148148148,0.7356159999999999,0.264384,23.14814814814815,25.0,6.12,17.028148148148148
2026-06-06,Sałatka wakame,1,15.0,8.0,1.96,1.1111111111111112,13.88888888888889,11.928888888888888,0.85888,0.14112,13.88888888888889,15.0,1.96,11.928888888888888
2026-06-06,Hosomaki KANPYO | 8 szt,1,18.0,8.0,3.88,1.3333333333333333,16.666666666666668,12.786666666666669,0.7672000000000001,0.23279999999999998,16.666666666666668,18.0,3.88,12.786666666666669
2026-06-06,Futomaki KREWETKA EBI | 6 szt / 12 szt,1,35.0,23.0,8.33,6.544715447154472,28.455284552845526,20.125284552845528,0.70726,0.29274,28.455284552845526,35.0,8.33,20.125284552845528
2026-06-06,Gunkan ŁOSOŚ SUROWY | 2 szt,1,25.0,8.0,5.81,1.8518518518518519,23.14814814814815,17.33814814814815,0.749008,0.250992,23.14814814814815,25.0,5.81,17.33814814814815
2026-06-07,Futomaki ŁOSOŚ GRILLOWANY | 6 szt,10,38.6,8.0,7.51,2.859259259259259,35.74074074074074,28.230740740740742,0.7898756476683938,0.2101243523316062,357.4074074074074,386.0,75.1,282.30740740740737
2026-06-07,Futomaki KALMAR PANKO | 6 szt,8,32.0,23.0,5.7,5.983739837398374,26.016260162601625,20.316260162601626,0.78090625,0.21909375,208.130081300813,256.0,45.6,162.530081300813
2026-06-07,Futomaki FRESH ROLL | 6 szt,4,35.0,8.0,6.39,2.5925925925925926,32.407407407407405,26.017407407407404,0.8028228571428571,0.19717714285714286,129.62962962962962,140.0,25.56,104.06962962962962
2026-06-07,PROMO 1+1=3 Sushi burgery,3,120.0,8.0,35.36,8.88888888888889,111.11111111111111,75.75111111111111,0.68176,0.31823999999999997,333.33333333333337,360.0,106.08,227.2533333333334
2026-06-07,Gunkan ŁOSOŚ SUROWY | 2 szt,2,28.0,8.0,5.81,2.074074074074074,25.925925925925927,20.11592592592593,0.7759,0.22409999999999997,51.851851851851855,56.0,11.62,40.23185185185186
2026-06-07,Sushi burger KREWETKA PANKO,2,60.0,23.0,13.4,11.21951219512195,48.78048780487805,35.38048780487805,0.7253000000000001,0.2747,97.5609756097561,120.0,26.8,70.7609756097561
2026-06-07,Sałatka wakame,1,15.0,8.0,1.96,1.1111111111111112,13.88888888888889,11.928888888888888,0.85888,0.14112,13.88888888888889,15.0,1.96,11.928888888888888
2026-06-07,Gunkan Ebi | 2 szt,1,30.0,23.0,6.4,5.609756097560975,24.390243902439025,17.990243902439026,0.7376,0.2624,24.390243902439025,30.0,6.4,17.990243902439026
2026-06-07,Hosomaki KANPYO | 8 szt,1,21.0,8.0,3.88,1.5555555555555556,19.444444444444443,15.564444444444444,0.8004571428571429,0.19954285714285716,19.444444444444443,21.0,3.88,15.564444444444444
2026-06-07,Black dragon roll | 8 szt,1,70.0,8.0,18.29,5.185185185185185,64.81481481481481,46.52481481481481,0.7178114285714285,0.28218857142857146,64.81481481481481,70.0,18.29,46.52481481481481
2026-06-07,Nigiri ŁOSOŚ | 2 szt,1,20.0,8.0,5.65,1.4814814814814814,18.51851851851852,12.868518518518519,0.6949,0.30510000000000004,18.51851851851852,20.0,5.65,12.868518518518519
2026-06-07,Zestaw Duo | 28 szt,1,160.0,8.0,34.6,11.851851851851851,148.14814814814815,113.54814814814816,0.7664500000000001,0.23355,148.14814814814815,160.0,34.6,113.54814814814816
2026-06-07,Zapieczona rolka FELIX | 8 szt (NOWOŚĆ),1,60.0,8.0,10.83,4.444444444444445,55.55555555555556,44.72555555555556,0.80506,0.19494,55.55555555555556,60.0,10.83,44.72555555555556
2026-06-07,California KRAB-MIX | 8 szt,1,45.0,8.0,7.71,3.3333333333333335,41.666666666666664,33.95666666666666,0.81496,0.18504,41.666666666666664,45.0,7.71,33.95666666666666
